"cond_id","K","dist","beta_x","J","n_j","ICC","N_total","method","n_ok","n_total","conv_rate","mean_bx","median_bx","bias","bias_mcse","rel_bias","rmse","mae","emp_se","mean_model_se","median_model_se","se_ratio","mean_ci_width","coverage","cov_mcse","rej_rate","rej_mcse","rel_efficiency"
585,7,"polarized",0.2,20,10,0.3,200,"Dummy",1000,1000,1,0.257670427140333,0.256464072000863,0.0576704271403334,0.00202699673446407,0.288352135701667,0.0862002622520082,0.0700542023840508,0.0640992649062998,0.0728532694903875,0.0727486863928574,1.1365695003973,0.287453550970156,0.911,0.00900438781928011,0.962,0.00604615580348373,1.15789898436448
585,7,"polarized",0.2,20,10,0.3,200,"Isotonic",1000,1000,1,0.233786012935936,0.231556245049751,0.033786012935936,0.00223431365641609,0.16893006467968,0.0782857587805052,0.0621086887081886,0.0706552016149374,0.0731490654950849,0.0731272424112405,1.03529625311578,0.288622267014357,0.939,0.00756828910652864,0.899,0.00952885092757778,1.05158613458903
585,7,"polarized",0.2,20,10,0.3,200,"PenOrd",1000,1000,1,0.256307615798864,0.254677531621613,0.0563076157988642,0.002033615253466,0.281538078994321,0.0854517583498605,0.0693233803324754,0.0643085608541318,0.0728409254843486,0.0727839495892538,1.13267851926543,0.287405713323009,0.912,0.00895857131466843,0.959,0.00627048642451286,1.14784458446538
585,7,"polarized",0.2,20,10,0.3,200,"PolyCor",1000,1000,1,0.199449909605295,0.197835379607805,-0.000550090394705105,0.00248818990821684,-0.00275045197352553,0.0786460458623009,0.0626351940605931,0.0786834736101053,0.0768466064090689,0.0768804490831344,0.976654980814161,0.303209226877024,0.945,0.00720936890441875,0.725,0.0141200212464429,1.05642574917015
585,7,"polarized",0.2,20,10,0.3,200,"LCP",1000,1000,1,0.198280832622753,0.198277600238673,-0.00171916737724701,0.00246301709150375,-0.00859583688623503,0.0778674660966796,0.0619988029848158,0.0778874392507521,0.0761578933860759,0.0762133901701761,0.977794290307734,0.300491802833724,0.944,0.00727076337120113,0.732,0.0140062843038402,1.04596735036361
585,7,"polarized",0.2,20,10,0.3,200,"IC",1000,1000,1,0.23619344674264,0.233940069219998,0.0361934467426398,0.00225722833653632,0.180967233713199,0.0799996891907186,0.0635740695026357,0.0713798274252785,0.0739013974302382,0.073880072411252,1.03532608715816,0.29159072263998,0.936,0.0077397674383666,0.899,0.00952885092757778,1.07460878242571
586,3,"symmetric",0.5,20,10,0.3,200,"Oracle",1000,1000,1,0.499106356198428,0.499545441916323,-0.000893643801572308,0.00233298953282192,-0.00178728760314462,0.0737441246428519,0.0588777872210924,0.0737756068104942,0.073761366288902,0.0737183676278704,0.999806975202131,0.291036893350288,0.951,0.00682634602111555,1,0,1
586,3,"symmetric",0.5,20,10,0.3,200,"Naive",1000,1000,1,0.444434117019168,0.444668019787159,-0.0555658829808316,0.00241139429920537,-0.111131765961663,0.0943216570847511,0.0762917722440355,0.0762549832223452,0.0755674599233748,0.0756100216488751,0.990983890233564,0.298160552591321,0.893,0.00977501918156686,1,0,1.27903961897382
586,3,"symmetric",0.5,20,10,0.3,200,"Dummy",1000,1000,1,0.450620874059252,0.448846324486093,-0.0493791259407475,0.00238079113141789,-0.098758251881495,0.0900044239118214,0.0728118644513285,0.0752872260840979,0.075368858993579,0.0753907635710469,1.00108428632222,0.297377178297036,0.908,0.00913980306133562,1,0,1.22049620017485
586,3,"symmetric",0.5,20,10,0.3,200,"Isotonic",1000,1000,1,0.450110691146254,0.448627805021744,-0.0498893088537459,0.00237977418530394,-0.0997786177074917,0.0902585452229895,0.0730460474140399,0.0752550674243205,0.0753350824339494,0.0753441118837959,1.00106325078653,0.297244844522312,0.908,0.00913980306133562,1,0,1.22394218739619
586,3,"symmetric",0.5,20,10,0.3,200,"PenOrd",1000,1000,1,0.450458778790402,0.448751077033369,-0.0495412212095979,0.00238177374829925,-0.0990824424191957,0.0901193982494207,0.0729187017842287,0.0753182991582223,0.0753640586691408,0.0753755643311244,1.00060754838373,0.297358473115083,0.908,0.00913980306133562,1,0,1.2220552984509
586,3,"symmetric",0.5,20,10,0.3,200,"PolyCor",1000,1000,1,0.500527092590625,0.500790516724659,0.000527092590624889,0.00271574150464874,0.00105418518124978,0.0858379548611849,0.0677774705712554,0.0858792869094277,0.085104989831989,0.0851529233634272,0.990983890233564,0.335792030356913,0.948,0.00702111102319284,1,0,1.16399720353186
586,3,"symmetric",0.5,20,10,0.3,200,"LCP",1000,1000,1,0.498024457119087,0.498286564140801,-0.00197554288091301,0.00270216279660896,-0.00395108576182601,0.0854299997967487,0.067450434188757,0.0854498904585462,0.0846794648852895,0.0847271587465283,0.990983890451792,0.334113070214913,0.946,0.00714730718522718,1,0,1.15846516872351
586,3,"symmetric",0.5,20,10,0.3,200,"IC",1000,1000,1,0.48639806132067,0.484795626741113,-0.0136019386793303,0.00257162865242119,-0.0272038773586607,0.0824116095454029,0.0655129838741096,0.0813220383780044,0.0814085040992717,0.0814182614922564,1.00106325078653,0.321208358204135,0.946,0.00714730718522718,1,0,1.11753458251119
587,5,"symmetric",0.5,20,10,0.3,200,"Oracle",1000,1000,1,0.502129377914121,0.504113842916488,0.00212937791412138,0.00231408870775044,0.00425875582824276,0.0731723020759351,0.0574686414971181,0.0731779102416712,0.0738603755582117,0.0737277123932705,1.00932611103934,0.291426527044253,0.953,0.00669260786241059,1,0,1
587,5,"symmetric",0.5,20,10,0.3,200,"Naive",1000,1000,1,0.472208135784763,0.473647440926655,-0.027791864215237,0.00241829827921165,-0.055583728430474,0.0813308435787369,0.0641769960616233,0.0764733062397464,0.0746523594277599,0.0746749883175673,0.976188464949093,0.294550270617669,0.921,0.00852988862764339,1,0,1.11149767427483
587,5,"symmetric",0.5,20,10,0.3,200,"Dummy",1000,1000,1,0.492226676081498,0.491328942260683,-0.00777332391850177,0.00236186360497788,-0.0155466478370035,0.0750549522255029,0.0594680278237489,0.074688685143863,0.0740002470559156,0.0739366759709098,0.990782565168722,0.29197757415239,0.948,0.00702111102319284,1,0,1.0257289998559
